標題,網址,內文
其它抗腫瘤類藥物,https://www.ca2-health.com/cancer?p=583,"致吐性：高度致吐(有> 90%的病人會發生嘔吐)。常伴隨有延遲性嘔吐。 因免疫力降低，可能增加感染的危險：通常白血球會在給藥後2-3週達到最低，之後緩解。如果有任何感染的症狀如發燒，打顫，喉嚨痛等，請盡速就醫。 血小板減少及貧血：注意身上是否有小紫斑，或小出血點。可能會較容易感到疲勞。 可能會有輕微掉髮(10%)、低血鎂(76%)或電解質不平衡。 肝功能指數升高(10%)。停藥可恢復。 末梢神經病變(10%)，與劑量有關。需一段時間才會逐漸恢復。 耳鳴(31%)或聽覺變差。與劑量或累積劑量有關且可能無法恢復。 腎功能指數升高(28-36%)，嚴重時可能造成腎衰竭，與劑量或累積劑量有關。增加水份補充，可以降低腎功能指數升高的機率。 骨髓抑制作用(25%)與劑量相關，並且可能很嚴重，引起感染(18%)或出血(6%)。 貧血(71%)可能是日積月累的，有時可能需要輸血治療。 嘔吐(65%)是常見的副作用，預先給予抗吐劑可減低發生率和嚴重度。 致吐性：中高度致吐(約30-90%的病人會嘔吐)。 貧血(64%)、血小板減少(30%)、白血球減少(13%)、嗜中性白血球減少(7%)。請注意身上是否有小紫斑或小出血點。可能會容易感到疲勞。 因免疫力降低，可能增加感染的危險。 避免懷孕及哺乳。 常見不良反應主要是噁心、嘔吐，可以給予止吐劑來防止。 可能導致心衰竭，應密切監測。 輸注反應及肺毒性：輸注期間如有出現發燒、冷顫、呼吸困難、低血壓、急性過敏、血管性水腫、間質性肺炎等症狀，應停止輸注，直到徵兆解除為止。 可能副作用：頭痛、結膜炎、腹瀉、噁心、嘔吐、低血鎂、脫水、鼻出血、疲勞。如有類似情形，。如症狀嚴重時，應立即就診。 治療期間和最後一劑治療後的二個月內的婦女，不要哺餵母乳。 本品有增加胃腸穿孔、外科手術和傷口癒合的併發症、動脈血栓栓塞或出血的可能性。 若發生患處突然劇烈疼痛、脫色或其他部位紅腫熱痛、皮膚長水泡、脫皮、發燒、意識混亂、昏厥、頭暈等疑似壞死性筋膜炎症狀，請迅速就就醫。 胚胎-胎兒毒性：育齡婦女治療期間與最後一劑使用後六個月內皆須進行有效避孕。 常見不良反應(> 30%)為腹瀉、禿髮、嗜中性白血球減少症、噁心、疲倦、皮疹及周邊神經病變。 本藥可能會與Rifampin、Warfarin、癲癇藥、抗黴菌藥或胃藥有相互影響，或藥師你是否併用。 若您有肺部纖維化問題或肝腎疾病，。 用藥前( 後)，若有懷孕、準備懷孕或哺乳，。服用此藥可能造成噁心或嘔吐的副作用，若有此問題，討論。 抽菸者服藥時應戒菸，因藥物濃度會因抽菸而降低。 可能造成皮膚不適反應，討論，使用不含酒精之潤膚霜和防曬乳，或局部用類固醇或具抗發炎性質的抗生素以減少不適。 如果出現下列徵兆或症狀，建議立即就醫：嚴重或持續性的腹瀉、噁心、厭食或嘔吐，出現不明原因的呼吸短促或咳嗽症狀，出現皮疹或皮疹惡化，眼睛不適。 育齡婦女治療期間要避免懷孕。 治療期間較常出現的腸胃道副作用如腹瀉、噁心、口腔炎、消化不良及嘔吐。 用藥期間可能出現毛髮或皮膚變色、皮膚乾燥、增厚或破裂、手掌腳掌水泡或皮疹。 左心室功能障礙：若有鬱血性心衰竭的臨床表現，建議停藥。 本藥會延長QT間期，正服用抗心律不整藥、心博徐緩或電解質障礙患者應小心使用。 高血壓患者應注意監測血壓，異常過高時應暫時停用本藥。 甲狀腺功能障礙患者，應小心使用本藥。 曾有腎功能不全或腎衰竭案例發生。 常見可能發生腹瀉、手足皮膚反應、紅疹、疲倦、出血及高血壓等副作用,治療初期(六週)需密切地監測血壓的變化及相關的副作用。 處方按時服藥，勿自行增、減劑量，突然停藥可能會影響病情。 懷孕或授乳的婦女在使用前，。 若您有懷孕或授乳， 或藥師。 若是您有心血管或肝臟疾病,。 可能服藥後產生嚴重下痢或胃腸道不適的情況發生，或藥師。 不建議使用於孕婦或欲懷孕者。 使用前，應先改善低血鉀症或低血鎂症，並定期監測。 本藥會延長心律QT間隔。應避免使用會延長QT間隔的藥物以及強效CYP3A4抑制劑，如：dexamethasone、phenytoin、carbamazepine、rifampin、rifabutin、rifapentin、phenobarbital。 應避免在用藥後1個小時與用藥前2個小時攝取食物。 肝功能障礙病人使用時建議降低劑量。 懷孕婦女不可使用。 本藥可能會降低免疫機能，應密切注意有無感染情形。 曾有間質性肺部疾病案例，如有異常呼吸困難、咳嗽、缺氧、發燒等，應主動通知醫療人員。 可能有血糖升高現象，必要時須調整血糖用藥。 高脂血症：必要時配合降血脂藥治療。 傷口癒合不良：手術前後應特別注意。 顱內出血：使用抗凝血劑治療之病患應小心。 腸道穿孔：如有新的腹痛症狀或加劇、血便等，應主動力及通知醫療人員。 避免懷孕或哺乳。 可能會影響傷口癒合，故應於手術前至少7天停用本藥。手術後應評估傷口癒合足夠，再考慮恢復使用本藥。傷口裂開則應停用本藥。 可能會導致肝膽功能的檢驗結果異常，如有眼白與皮膚泛黃（黃疸）、不尋常的深色尿液、異常疲倦、右上腹部疼等，應立即通知醫療人員。 頭髮或皮膚可能會發生色素脫失而變色。 正在使用抗高血壓藥物治療的患者如果停用本藥，應小心監視是否有出現低血壓的現象。 手術：預定手術前應停藥24小時。 本藥會增加高血壓的發生率(30%)，建議每週期至少須測一次血壓。 每天同一時間服用本藥。請整顆吞下並配合脂肪含量低於30%的低脂早餐。 蠶豆症（G6PD缺乏）病人應注意是否有出現貧血的情形。 可能會使血糖上升，糖尿病病人應密切監測。 眼毒性：如有不明視覺障礙，並進行眼科檢查。 皮膚毒性：如有皮疹等過敏現象，應儘速回診處置。 可能引起血糖上升現象，必要時應監測血糖。 致吐性：低度致吐(低於10%的病人會發生嘔吐)。 因免疫力降低，可能 增加感染的危險：通常白血球會在給藥後10-14天之內達到最低，如果有任何感染的症狀如發燒，打顫，喉嚨痛等，請盡速就醫。 血小板減少及貧血：注意身上是否有小紫斑，或小出血點。可能會較容易感到疲勞。 可能會有掉髮(1-10%)、皮疹(8%)、紅斑(50%)、皮膚色素過度沉著(50%)、手及指甲過度角質化(50%)。 心臟血管方面副作用：雷諾氏徵候群 (Raynaud's phenomenon, >10%)、手腳水腫(50%)。 胃腸方面副作用：口腔炎(30%)、噁心、嘔吐、厭食、體重減輕。 長期服用本藥病人，應避免日曬、自行檢查皮膚，如有紅斑丘疹、色素沈著過度、指甲萎縮、鱗片化、血管性潰瘍和壞疽等徵兆時，。 用藥期間應多補充水份。 接種疫苗，放射線治療，服用其他抗癌或愛滋病治療藥物前，知道您正在用這個藥。 用藥前(後)，若有懷孕、準備懷孕或哺乳，並在治療結束後6個月內避孕。 若您有貧血、痛風、肝腎疾病或愛滋病，。 服用此藥可能會造成您的血球值異常，避免接觸目前正遭受感染的人或擁擠的場合，並經常洗手。避免激烈碰撞的運動，使用軟毛牙刷清潔口腔。 若您有心臟病、高血壓、糖尿病、癲癇、偏頭痛、肝腎疾病、凝血功能異常或中風病史，。 用藥前(後)，若有懷孕、，並在治療結束後6個月內避孕。 本藥可能會與其他藥品(Ketoconazole, Cimetidine, Erythromycin, Verapamil, Diltiazem, Phenobarbital, Pentobarbital, Rifampin, Cyclosporine或類固醇)有相互影響，或藥師你是否併用。 若您有肝臟疾病、高膽固醇或三酸甘油脂血症，。 用藥前(後)，若有懷孕、準備懷孕或哺乳，並在治療前後至少1個月內避孕。 骨髓抑制：應密切注意有無感染情形。 間質性肺部疾病：如有異常呼吸困難、咳嗽、缺氧、發燒等，應主動力及通知醫療人員。 避免懷孕或哺乳。 致吐性：中高度致吐 (有30%- 90%的病人會發生嘔吐)。 因免疫力降低，可能增加感染的危險：通常白血球會在給藥後降低，如果有任何感染的症狀如發燒，打顫，喉嚨痛等，請盡速就醫。 血小板減少及貧血：注意身上是否有小紫斑，或小出血點。可能會較容易感到疲勞。 可能會有腹瀉(60-90%)發生，通常會給與藥物預防，所以實際發生機率已經降低。 可能會有血管擴張(9-11%)、低血壓(6%)、水腫(10%)、掉髮(12-70%)、皮疹(13-14%)、發汗(16%)、脫水(15%)、肝功能指數升高(25%)、背痛(14%)、鼻炎(16%)等現象。 本藥會使免疫力降低，應避免施打活性減毒疫苗。也不可與黃熱病疫苗併用，有致死危險。 用藥期間應避免懷孕或哺乳；女性停藥後一個月，男性停藥後三個月內仍採取避孕措施。 禁用於對砷及本藥過敏者。 併用會延長QT的藥物、曾有torsade de pointes病史、已存有QT間隔延長情況、鬱血性心衰竭、使用耗鉀型利尿劑或其他會導致低血鉀或低血鎂等情況，都可能增加torsade de pointes的危險性。 用藥前(後)，若有懷孕、準備懷孕或哺乳，。 肝病患者，。 少數病人有周邊神經麻木、腳或手有疼痛或灼燒感，若併用與周邊神經病變有關之藥物(如amiodarone、抗病毒藥物、isoniazid、nitrofurantoin或statins)須謹慎。 低血壓發生率約為13%，併用降血壓藥或利尿劑時應謹慎。 可能會引起疲倦、暈眩、昏厥或視力模糊。出現這些症狀便不能駕車或操作機器。 若患有心臟、肝臟、。 若您預備懷孕、已懷孕或正在授乳，以確保藥物使用之安全。 需定期作血液學檢查。 【編輯/ 藥劑部 謝家興藥師】"
兒童減重,https://www.ca2-health.com/children?p=651,孩子要減胖 全家一起來 以往國人對於兒童健康的定義就是要白胖胖，臉圓圓，大腿一圈又一圈，這才是父母親的驕傲與生活富裕的表徵。隨著台灣地區第3次國民營養調查結果顯示，我國兒童身高、體重的成長情形較以往快速，過重或肥胖的盛行率也明顯升高，引發國人對於兒童肥胖問題的重視。 該怎麼判斷兒童肥胖與否呢？很簡單，就是以生長曲線或重高指數（weight-for lengthindex）、皮脂厚度或身體質量指數（BMl）來評估。近年來皆以BMI值作為評估肥胖的指標，BMI=體重（公斤）／身高（公尺2），以大於85百分位的數值作為定義肥胖的分割點。換句話說，若是BMI值超過85%的同齡孩子，即為過胖。 兒童與青少年肥胖的定義 BMI＝體重（公斤）／身高2（公尺2） （資料來源：行政院衛生署） 幼兒期肥胖易造成長大成人後的肥胖與埋下多種慢性疾病的隱憂，包括高血壓、第2型糖尿病、高血脂、高膽固醇、脂肪肝、心血管疾病與某些癌症，並且對於行為與學習過程也都會造成影響、甚至在社交上也多有阻礙，同時會導致抑鬱與自卑感。 造成肥胖的原因頗多，一般來說，如果父母之一肥胖，子女有40%的機率罹患肥胖症；如果父母雙方均肥胖，子女肥胖的可能性會增加雙倍。父母親的飲食習慣與生活型態對子女委實影響深遠。 此外，再加上現在的環境因素與都市化結果，例如上課搭乘交通工具，下課後在家與電腦、電視為伍，家庭以外食居多，接觸較多高糖、高油脂食物，以及速食店、飲料店林立等，都會影響兒童將來對食物與生活方式的選擇，對肥胖的形成有推波助瀾的效果。 治療兒童肥胖需要多方面的努力，包括家庭的配合、父母親一同執行飲食控制、培養全家共同的運動與修正生活型態，才能有效幫助孩子減重。在飲食控制部分，需遵守食物金字塔原則，就如上圖所示。 食物代換表 避免肥胖需遵照食物紅綠燈原則： 盡量選擇綠燈食物，避免黃燈食物，禁止紅燈食物 當然還需父母親配合不購買紅燈食物，減少外食機會，盡量由家人一起料理準備，讓孩童從中認識食物並了解烹調方式，體會食物製作過程，自然而然就會選擇對的食物進食，而避開紅燈食物的攝取。 運動方面，應減少看電視、玩電腦、電動等靜態性的活動，多鼓勵兒童從事戶外運動，可配合學校的體育課，請專業老師為兒童設計不同種類、中等強度、有氧、伸展、柔軟等常規性體育活動。 兒童減重與成人減重，方法大致相同，但是其中多了父母的參與。家長們，為了讓孩子有更好的未來，從現在起就來個全盤檢討，千萬不要忘了您的飲食模式會直接影響孩子，協助孩子減重的同時也要加強自身的改變，才能陪伴孩子在減重之路一起向前推進！ 【撰文/ 臨床營養科 賴馥君】
唐氏症一,https://www.ca2-health.com/children?p=716,我們身上有23對染色體，染色體裡充滿著來自父母身上的遺傳物質─基因，這些基因指揮體內所有的蛋白質的合成；如果基因多了或少了一段，都會有極大的影響，很多遺傳病就是這樣造成的。同樣地，染色體也是多不得、少不得的，多了或少了任何一個染色體，會造成畸形、死亡，唐氏症就是一個例子。 舊稱蒙古症，是一種先天性疾病，是最常見智能不足的病因之一，也是最常見的染色體數目異常病症。隨著孕婦的年紀越大，其發生率越高。 唐氏症患兒的染色體比正常人多出一個21號染色體，成了21三染色體症，干擾了遺傳基因的功能─正常情況下染色體都是成雙成對，共有23對、46個染色體，唐氏症患兒則有47個染色體，也因此形成臨床上種種異常的症狀。 因為每個人都會從父母親身上得到各一半的染色體，即父母親的生殖細胞在成熟時會經過減數分裂的過程，將原來成對的染色體分離成單套；這些父母親身上的單套染色體在受精後，又可合成成對的染色體；而在這分裂過程中，有時候染色體沒有完全的分離開來，於是便造成了唐氏症。 21號染色體是人體內最小的體染色體，只攜帶254個基因訊息，若不幸了差錯，產生三染色體症時，因受干擾的基因數量較少而能僥倖存活，這是唐氏症成為最常見染色體疾病的最主要原因。 藉由孕期第一階段的超音波檢查胎兒後頸部透明帶是否變厚。 懷孕第15-16週時接受母血篩檢，準確度約為60-70%。 於孕期20週時，染色體檢查。 利用羊水檢查和在懷孕早期抽取母親血液測絨毛膜性腺激素及胎兒甲型蛋白的濃度，來預測發生此症的可能性。 不行；可配合專業人員的指導，參與孩子的早期療育計畫，激發孩子的能力。 唐氏症患兒存活時間的長短，與是否合併有嚴重的心臟病，有沒有任何其他畸形，以及是否受到良好的照顧有關。隨著醫學的進步，唐氏症患者平均存活期間也隨之而增長。 【資料來源： 衛教健康分享網】
台中市0~2歲嬰幼兒保健資源,https://www.ca2-health.com/children?p=821,一、對象：設籍本國未滿3個月之新生兒。 二、內容： (一)篩檢地點： 特約醫療機構出生者， 提供篩檢。 未於特約醫療機構出生者，於出生3個月內持健保卡（出生2個月內未領健保卡者，得依附母親或父親健保卡）至有提供非該院出生新生兒聽篩之特約醫療機構受檢。 (二)特約醫療機構請洽詢： 各區衛生所。 衛生局(專業服務/婦幼保健)。 國民健康署。 【資料來源：台中市政府社會局 好孕連連福利手冊】
台中市2～6歲嬰幼兒保健資源,https://www.ca2-health.com/children?p=825,【資料來源：台中市政府社會局 好孕連連福利手冊】
腸道壞菌引發氣喘 抗生素讓過敏更惡化,https://www.ca2-health.com/children?p=857,"日本筑波大學澀谷彰教授的研究團隊在實驗鼠上發現了服用抗生素導致腸道細菌的平衡崩解，因此氣喘症狀更為惡化的機制，這項研究成果發表在美國知名期刊《細胞》(Cell) 的系列雜誌《細胞宿主與微生物》(Cell Host & Microbe) 電子版上。 根據日本共同通信社報導，澀谷彰 (SHIBUYA, Akira) 表示，這項研究「將可能發展出新的過敏治療。今後希望能繼續接著在病患身上進行研究。」 研究團隊先讓老鼠吸入過敏原，引發氣喘症狀。他們發現預先施打抗生素的老鼠比沒有施打抗生素的老鼠在支氣管中多了約2 倍的引起發炎的細胞，症狀也更為嚴重。 根據日本經濟新聞報導，澀谷彰教授他們使用老鼠實驗發現了被稱為腸道壞菌的細菌是導致氣喘惡化的機制。他們也在老鼠上找到有效的治療方法。希望能繼續探索在人體中是否也存在相同的機制使得病患的病情惡化，並檢討相關的治療方法。 研究團隊將某種抗生素混合在飲水中餵食實驗鼠 2 週後，再使老鼠吸入過敏原引發氣喘，發現老鼠的症狀更為嚴重。經研究發現該實驗老鼠的腸道內，如乳酸菌之類的好菌減少，腸道壞菌念珠菌 (Candida) 則異常地增加。 這個結果，導致前列腺素 E2 (Prostaglandin E2，PGE2) 在血液中增加，使得肺臟支氣管中引發免疫反應的細胞增生，因此加強了過敏反應。由於發炎症狀惡化，氣喘也就變得益發嚴重。 當對老鼠施打可以殺死念珠菌、使前列腺素 E2 不再增加的藥劑後，氣喘症狀便得到了改善。 只要腸道細菌的平衡一崩壞，便會引發腸炎 (Inflammatory Bowel Disease)、異位性皮膚炎 (Atopic Dermatitis) 以及糖尿病等各種疾病，氣喘也是其中之一。更詳細的疾病機制目前則尚未解明。 【資料來源： 衛教健康分享網】"
量量寶貝BMI,https://www.ca2-health.com/children?p=751,以往中國人對於兒童健康的看法，就是要小孩白白胖胖，臉圓圓的、大腿一圈一圈才是父母親的驕傲與生活富裕的表徵，隨著台灣地區第三次國民營養調查結果顯示，我國兒童身高、體重的成長情形較以往快速，因此過重或肥胖的盛行情形也明顯增高，國人對於兒童肥胖的問題日漸重視。 該怎麼評估兒童肥胖與否呢？ 很簡單！ 就是以生長曲線或重高指數(weight-for length index)、皮脂厚度或身體質量指數(BMl) 來評估即可。BMI = 體重（公斤）÷ 身高（公尺）平方，若是BMI 值超過85% 的同齡孩子，便為過胖。近年來皆以身體質量指數 (BMI) 作為評估肥胖的指標，以大於85百分位的數值作為定義肥胖的分割點。 幼兒的肥胖易造成長大成人後的肥胖，容易引發多種慢性疾病，包括：高血壓、第二型糖尿病、高血脂、高膽固醇、脂肪肝、心血管疾病與某些癌症；此外，對於行為與學習過程都會影響，甚至在社交上也多有阻礙，也增加抑鬱症與自卑感。造成肥胖的原因頗多，一般來說如果父母其中一方肥胖，子女有40% 機會得肥胖症。如果父母雙方均肥胖，子女肥胖的可能性會加倍，而父母親的飲食習慣與生活型態通常會影響子女甚遠，探討造成兒童肥胖最主要的原因，仍然不外乎飲食過量與缺乏運動。 另外，環境因素與都市化結果，通常上課搭乘交通工具，下課後在家與電腦電視為伍，家庭以外食居多，接觸較多高醣高油脂食物，還有速食店飲料店林立，皆影響兒童對食物的選擇。當然治療兒童肥胖需多方面努力，包括家庭的配合、父母親ㄧ同執行飲食控制、培養全家共同的運動、生活型態修正，才能幫助兒童減重。 飲食控制部份需遵守食物金字塔原則，如下列所示： 【資料來源： 衛教健康分享網】
中醫治療肥胖,https://www.ca2-health.com/children?p=862,人體物質能量代謝與臟腑功能尤其與脾、腎兩臟有關。脾主運化，與營養的吸收、運用有關；而腎藏真元之氣，更是人體生命活動的根本。中醫認為肥胖與氣虛、痰、濕、瘀等病機有關，其中氣虛又主要是以脾腎功能失調為病理基礎。 在預防和治療單純性肥胖症，兒童與成人有所不同。因為兒童正處於生長發育階段，在減肥的同時，不應妨礙兒童的生長發育，所以成人減肥法並不完全適用於兒童，比如禁食、西藥、手術等。中醫對兒童肥胖的治療，臨床上仍 是以恢復臟腑氣機功能為主，如肺脾氣虛型可選用防己黃耆湯治療；若屬痰濕內阻型則可考慮溫膽湯合平胃散治療。若兒童對針灸不生畏懼，也可考慮體針治療法，利用循經取穴如內關、水分、天樞、豐隆、足三里、三陰交等穴，使得氣血運行流暢，氣足則痰飲水濕得化。若對針灸畏懼者，可利用推拿來治療，在肺、胃、脾、腎經循行部位進行推拿，活絡氣血促進臟腑功能。 【撰文/ 中醫兒科 】
淺談兒童肥胖,https://www.ca2-health.com/children?p=880,"隨著文明的進步及物質生活的改善，以前被認為是大人才會得到的文明病，現已悄悄的影響我們國家未來的主人翁—兒童。根據統計，美國兒童至少有1/4以上屬於肥胖體態；在台灣的情況也不遑多讓，根據衛生署最新調查， 國人10~15歲國中、國小學生約15%有過重的現象，而在都會區兒童肥胖更為嚴重，約四分之一的中小學生已達肥胖標準。 肥胖的原因主要在於生活型態的改變，尤其是現代兒童偏向於靜態的作息，如看電視、上網等。曾有家屬在看過兒童內分泌科門診後，筆者要求家屬帶小還每日從事至少半小時的運動，其運作模式竟是由媽媽騎自行車，然後再用繩子將小孩的腳踏車繫在一起帶動，小孩只負責握把手控制行進方向。這件事說起來好笑，卻是實際發生的事情，也反應出兒童不愛運動而日漸肥胖的事實。
香港最近研究指出，睡眠不足的兒童也易肥胖；這是除了看電視、上網、吃零食及高熱量食物等一般人所認知易造成脂肪堆積的常識外，另一個引起重視的話題。兒童肥胖不只與大人一樣容易得到第二型糖尿病，也會導致月經不規則、性早熟、血脂肪過高等內分泌異常。因此，不只為人父母需注意兒童體態之不良變化，政府相關單位也應拿出對應政策，減少兒童及青少年的課業負擔，鼓勵及建設相關運動設施， 避免我們的下一代被「肥胖」這個文明病殘害。"
兒童肥胖，未來健康的殺手,https://www.ca2-health.com/children?p=888,隨著文明的進步及物質生活的改善，以前被認為是大人才會得到的文明病，現已悄悄的影響我們國家未來的主人翁—兒童。根據統計，美國兒童至少有1/4以上屬於肥胖體態；在台灣的情況也不遑多讓，根據衛生署最新調查， 國人10~15歲國中、國小學生約15%有過重的現象，而在都會區兒童肥胖更為嚴重，約四分之一的中小學生已達肥胖標準。 肥胖的原因主要在於生活型態的改變，尤其是現代兒童偏向於靜態的作息，如看電視、上網等。曾有家屬在看過兒童內分泌科門診後，筆者要求家屬帶小還每日從事至少半小時的運動，其運作模式竟是由媽媽騎自行車，然後再用繩子將小孩的腳踏車繫在一起帶動，小孩只負責握把手控制行進方向。這件事說起來好笑，卻是實際發生的事情，也反應出兒童不愛運動而日漸肥胖的事實。 香港最近研究指出，睡眠不足的兒童也易肥胖；這是除了看電視、上網、吃零食及高熱量食物等一般人所認知易造成脂肪堆積的常識外，另一個引起重視的話題。兒童肥胖不只與大人一樣容易得到第二型糖尿病，也會導致月經不規則、性早熟、血脂肪過高等內分泌異常。因此，不只為人父母需注意兒童體態之不良變化，政府相關單位也應拿出對應政策，減少兒童及青少年的課業負擔，鼓勵及建設相關運動設施， 避免我們的下一代被「肥胖」這個文明病殘害。 【撰文/ 兒童遺傳科 】
中醫兒科團隊,https://www.ca2-health.com/children?p=1694,【資料來源： 中醫兒科】
訓練大腦喜歡健康食品,https://www.ca2-health.com/children?p=2999,"人們都知道多吃健康食品有好處，可偏偏那些「不健康食品」似乎更誘人。英國《營養和糖尿病》雜誌刊登一項最新研究說，大腦對食物的偏好 (eating behavior) 其實可以通過「訓練」來改變，從而形成良好的飲食習慣，降低肥胖風險。 在這項為期 6 個月的研究專案開始前和結束後，研究人員對這兩組參與者腦部進行了核磁共振成像 (fMRI) 掃描，重點考察大腦中與回饋和成癮有關的區域對不同食物的反應。結果發現，接受半年訓練之後，被干預者對低熱量食物的興趣明顯增加，而對高熱量的不健康食品興趣下降。對照組則沒有出現這種變化。 This study provides the first demonstration of a positive shift in activation of the reward system toward healthy versus unhealthy food cues in a behavioral intervention, suggesting new avenues to enhance behavioral treatments of obesity. 【資料來源： 衛教健康分享網】"
兒童青少年肥胖與營養治療,https://www.ca2-health.com/children?p=2981,甚麼是肥胖？Obese在拉丁文中意指：「過度的吃」。肥胖是一種行為表現，飲食方式是最主要的成因。現代食物的普及化、多樣性以及容易取得，大部分又都是高熱量食物，使得地球上各大洲幾乎都已被「肥胖問題」淹沒了，中國算是新崛起的肥胖國家，台灣卻是亞洲第一名的肥胖大國，其他諸如北美、加拿大、蘇聯、非洲則是肥胖值比較低的國家
淺談兒童時期的膽固醇問題,https://www.ca2-health.com/children?p=2577,秋高氣爽，又到了吃蟹的季節。蟹黃雖肥美，但吃多了不只發胖，還要擔心膽固醇飆高。若再加上中秋時大啖的月餅，烤肉，和柚子，當心體重也平步青雲，直線上升！ 提到高膽固醇，和隨之而來的動脈硬化，心臟病，和腦中風等，很多人會認為這是老年人才有的問題。但其實動脈硬化可能在青春期就已發生，也確實有許多人，在青壯年時就已發生心肌梗塞，甚至因而死亡。因此，膽固醇過高並不是成人才須要擔心的問題，在兒童期就該好好檢測，積極處理。 誰須要檢測血中膽固醇呢？ 根據美國兒科醫學會（American Academy of Pediatrics）的建議，以下的孩童須要接受檢查： 家族中有人已檢驗出高血脂，或青壯年就發生心血管疾病的病史。 沒有家族史，但有心血管疾病的危險因子，如體重過重或肥胖，高血壓，抽菸，糖尿病。 建議在2至10歲間進行第一次檢查（2歲以下不須要)。若檢查結果正常，則建議在3到5年後再次追蹤。若檢查結果異常，則需要處理。 多高的膽固醇才叫高，哪些人須要治療呢？ 根據美國國家膽固醇教育計劃（National cholesterol education program）內的「兒童及青少年的膽固醇」專家小組的建議，2歲至19歲的兒童，只要血中膽固醇大於200mg/dL，或低密度膽固醇（俗稱的壞膽固醇）大於130mg/dL，就該做飲食及生活型態改變。若有特殊疾病，如糖尿病，代謝症候群，病態性肥胖等，的意見後接受積極的治療。 怎樣的生活型態能夠降低膽固醇呢？ 不管是兒童或成人，降低膽固醇的方法大同小異，就是要適當的運動，和避免高脂，高膽固醇，和高熱量飲食。關於運動，一般建議成人每天要有30分鐘以上中等強度的運動；而兒童則建議每天要進行60分鐘以上的強烈活動。有些人擔心飲食的調整會影響兒童的成長和發育，但研究證實，除非是很小的兒童，又在沒有專業人士的建議下使用極低脂飲食，不然是不會對其生長發育造成不良影響的。 降低膽固醇的基本飲食原則如下: 均衡飲食，多攝取蔬果，全穀類，高纖食物。 使用不飽和脂肪酸高的油脂（橄欖油，苦茶油，沙拉油，花生油，葵花油等）烹調食物，避免使用動物性油脂（豬油，牛油，雞油等）。 少用炸，煎，烤的方式烹調食物。 減少食用高脂和高膽固醇的食物，如肥肉，內臟，加工肉品，帶皮的肉，全脂乳品，奶油，精緻餻餅，蛋黃，蝦卵，魚卵，蟹黃，帶殼海鮮等。 避免攝取反式脂肪。 減少含糖飲料（包括果汁）和零食的攝取。 兒童時期養成的習慣，會影響到孩子長大後。趁早幫他建立良好的生活習慣（也幫全家一起改變），不只對他小時候有幫助，相信也會減少他們長大後膽固醇過高的機會。 今天就開始降低膽固醇大作戰吧！
甜蜜的健康陷阱-含糖飲料,https://www.ca2-health.com/children?p=5869,慢性疾病隨著肥胖比例愈趨推高
肥胖、經亂難受孕，中醫教妳 4 種方法改善難孕體質,https://www.ca2-health.com/cm?p=5886,衛生署的標準分為男、女，過輕與過重來進行數據呈現，BMI大於85%就是過重，台灣的過重比例相當高，有超過95%的人過胖；美國的肥胖比例是最高的，其他國家也都呈現過重的情況，其中非洲國家的數值較低，因為他們的運動量多且吃的少。過重肥胖是小兒科很嚴重的問題，這些肥胖者到40幾歲時可能會有糖尿病、心臟病等高風險疾病產生。1970年肥胖比例逐年上升來到2008年，肥胖比例仍持續上升
預防洗腎，你可以做什麼？,https://www.ca2-health.com/cm?p=5863,若早餐吃些綠豆，那熱量不會太高，但若選擇一些馬鈴薯，熱量相對會提高許多。肥胖若發生在孩童的階段，膽固醇本質會開始改變、關節受力不好、呼吸窘迫、肝臟發炎，甚至提早發育，且會影響日後身高等現象。臨床上也觀察到肥胖孩子會有兩種情況：胖大哥級欺負弱小智能不好的胖小孩被凝虐。第二代住民同樣面臨肥胖孩子在未來會形成的問題
腎臟亮紅燈 中藥忙救援,https://www.ca2-health.com/cm?p=5874,年歲漸長，腎臟功能越來越差，如果又合併糖尿病、高血壓、高血脂等代謝疾病卻控制不良，或是有腎絲球腎炎、誤用止痛藥物等情況，極易轉變為慢性腎臟病，不但加速腎臟功能的惡化，到了最後，甚至需要洗腎治療。臨床上，這樣的病人屢見不鮮
流感蠢蠢欲動 中西醫與你共築防禦力,https://www.ca2-health.com/cm?p=4484,兩位病人，許多病友的縮影
延緩腎功能惡化、降低洗腎風險！中西醫併治讓你想不到的好處,https://www.ca2-health.com/cm?p=4737,74歲的張先生有冠狀動脈疾病、高血壓及糖尿病，導致慢性腎臟病與末梢神經病變，手腳總是冷麻疼痛，就診時，肌酐酸6（男性正常值為小於3，女性正常值為小於1），腎絲球過濾率44（男性和女性的正常值均為大於90），屬慢性腎臟病第3期，合併使用中藥治療後，藉由中藥的活血化瘀功效，狀況好轉
口乾必有因  中醫幫你解渴,https://www.ca2-health.com/cm?p=3023,53歲的林先生，高血壓與痛風均有多年病史，但血壓與尿酸控制不良，由於痛風反覆發作，經常服用止痛藥，已嚴重破壞腎功能。就診時，肌酐酸43，腎絲球過濾率18，屬慢性腎臟病第4期。當務之急除了控制血壓及加強飲食調整之外，我們也用中藥為他治療，包括以黃耆搭配當歸補益氣血，改善貧血疲倦等臨床症狀，他知道事態嚴重，從此認真忌口和增加活動量，腎病不再惡化，痛風發作頻率大幅減少
