標題,問題,回答
 糖尿病禁忌,您好糖尿病除了不能吃糖少油以外還有什麼食物不能吃,"w您好: 糖尿病病患飲食原則建議採取均衡飲食為主,少油,少糖多蔬果及運動,建議任何食物都可食用,但須注意份量問題,青菜建議可多食用水果一天建議攝取2份,多喝水適當運動,及藥物控制是糖尿病控制最好的方法 關心您的健康"
 已穩定的型糖尿病患者是否仍需持續在醫學中心看診,"您好: 抱歉打擾了!想和您請問一下,小弟有2型糖尿病已經7年多,就診處理,從一開始使用扣糖到現在的排糖藥,糖化血色素控制在6~8之間,每三個月一次回診領藥及回診前抽血,檢查,醫生也告知都控制良好. 因近期健保制度要調整,加上有醫生朋友給我建議(非家醫或內科專業)，只要穩定吃藥就可以控制好,診所就能開藥處理了,並可以節省國家健保資源及就醫費用也不需要那麼高,且現在資料都有互通了,轉診就好,大多就沒有抽血和檢查眼底這些. 因為不是很了解,而本身過去經驗有時一些常出現的日常問題比如,眼科.皮膚科,處理，但目前這糖尿病屬定期回診的慢性病,因此想和醫生請教一下,您的建議看法,謝謝",如果血糖都能控制穩定，建議您可以下轉基層醫療院所控制，執業，或是加入糖尿病共照網的院所
 糖尿病配方,我奶奶身高148cm、體重31kg，吃蛋奶素，有糖尿病、三高、血糖都在10左右，有在吃血糖藥、血壓藥、也有在打insulin長效型16U，她平常都喝原味安素2罐＋桂格完善1罐糖尿病配方，還會吃的馬芬蛋糕大概200卡和一顆雞蛋，會吃豆花加些許糖大概130卡，晚餐水果香蕉或木瓜或水梨或柿子大概60大卡，不知道是醣類攝取過多，前幾天突然心跳150次/每分鐘，血壓也突然升高1mmHg，想問醫生像奶奶這種情況她可以怎麼改善，如:吃高蛋白質、豆漿？,糖尿病飲食原則中，以均衡飲食為主，攝取富含膳食纖維食物，例如：全穀類、蔬菜、水果…，避免攝取精緻醣類食物，例如：砂糖、甜點、果汁、蜂蜜、飲料…。馬芬蛋糕屬於高糖高油精緻甜點，並不建議糖尿病患者。 如個案三餐能以全穀類為主食，一天至少300g蔬菜量，選擇優質蛋白質但無油炸過的豆皮、豆包、豆腐、雞蛋、豆漿、豆花，一天4~5份(大約2~5個手掌大小的份量)，2次點心可選擇水果或者無糖豆花、豆漿、蒸蛋，增加水份攝取。 除了飲食上的調整，增加身體的活動度、定期的監測血糖、藥物指示，相信三高症狀會越來越穩定
 糖尿病前期,"之前測糖化血色素得知有一點高,後來飲食控制,再去測數值是5,說沒事,有一點高的糖化血色素會造成胰臟不能逆轉功能上的損傷嗎?而損傷能靠運動修復而變成和原來一樣的功能嗎?",輕微的血糖偏高不至於造成胰臟功能上嚴重的損傷
 糖尿病前期,醫生你好 我最近一次去健康檢查 飯前血糖 104 糖化血色素 7 紅血球 56 血紅素 14 MCV 6 HT4 健康檢查前 還在吃抗生素 吃藥已經持續7天了 這樣檢驗的數值準確嗎？ 我需要馬上在從新檢驗？ 還是等3個月後回去追蹤檢查？ 先謝謝您的回覆,目前的報告屬於糖尿病前期，請先飲食控制，三個月後再追蹤
 關於糖尿病患者開刀的事項,好 我在三年前被診斷糖尿病，當時糖化血色素是1 至今仍靠口服藥控制血糖，現糖化血色素8 明年初我將因腳第五趾內翻入院進行手術 請問有甚麼應該注意的嗎？ 是說血糖要控制在150以下，會打槍是真的嗎？ 術前跟術後有甚麼需要注意的嗎？,"吳小姐好 沒錯,糖分10 是手術基本條件,術後也一樣"
 糖尿病前期,"身高173 體重2，三月份體重是2，因體重減輕去做血糖跟甲狀腺檢查，檢查結果是空腹血糖96，糖化血色素7，eAG:117 free T4 :05, TSh :741 沒有家族史，本身體重過輕，無高血壓無高血脂無脂肪肝 之前少運動、常吃麵食類食物，不常吃甜食，從今年2月開始一個禮拜最少運動三次以走路30分鐘加伸展操，或著跑步10分鐘，走路15分鐘，伸展15分鐘，不吃炸物、不吃辣、不喝飲料，5月開始少吃麩質類食物（麵條麵包） 血糖高是否有可能是吃麵食過多或壓力造成的？從去年12月份開始情緒焦慮、身體多處不適，看過泌尿科（膀胱炎、血尿追蹤）、肝膽腸胃科（胃食道逆流、便秘腹瀉）、婦產科（經期不順），會不會因壓力讓血糖升高？ 體重減輕是因血糖過高嗎？ 本身腸胃從小吸收不好，但從沒體重減輕到這樣 原是家醫科檢查，說算糖尿前期，不用吃藥，可以飲食控制，真的不用吃藥嗎 ？其實我也擔心藥一吃就是一輩子 需要轉掛新陳代謝科嗎？還是半年在再到家醫科追蹤即可？ 糖尿前期看到的都是肥胖人居多，只要減重即可逆轉糖尿，像我這樣過瘦，是否還要再減重？我都覺得我瘦的很可怕，想增胖，但又擔心影響血糖 可以飯前運動嗎，還是一定要飯後運動？現在都會在先喝一杯燕麥奶再去運動，運動後吃一顆水煮蛋或加燙青菜，三餐飯後再散步15分鐘 問題有點多，感謝醫生",您好: 分空腹血糖值正常值範圍是70~100 mg/dl，糖化血色素正常值範圍是4~6%。 不知道您的實驗室標準範圍是? 糖尿病前期可以飲食，運動控制，不一定就要吃藥。 家醫科，新陳代謝科都可以追蹤。 空腹運動，有可能發生低血糖症狀，可以吃點東西，不要太多，休息15分鐘後，再運動。 飯後可以休息1小時候，再中等強度運動
 糖尿病和舌痛,我三年前因為怕蛀牙一天刷四次 以往是兩次 沒多久因為壓力 睡不好 舌頭就開始痛 我都刷很久等於牙膏含在口裡至少10分鐘 之後雖然馬上停止 卻開始舌痛 已經有給耳鼻 和口外檢查 都說發紅而已 接著時好時壞 另外我自己看舌頭感覺有萎縮 是沒講 只有開b群 吃時似乎比較不痛 沒吃又發作 糖尿病會造成舌痛嗎 不過我BMI只有9還是有甜飲情況 還時當時牙膏太刺激造成口腔菌叢破壞 醫學上有可能嗎 當時口外一度懷是念珠菌 可是又說不像 因為沒白班 我個人這幾天很奇怪 都是洗完澡 睡前開始痛 白天又不痛 後來受不了 降低甜飲同時開始狂含無糖綠加藥用牙膏(甘草類 當時口外有開過) 感覺有改善一點 不知道您怎看我情況 還是單純缺b2而已 (我喝牛奶消化不良 也沒吃紅肉和內臟 ),糖尿病會造成神經變化 確實可能有您所說的狀況 不過是否一定是糖尿病造成的? 建議可以找口腔科求診 牙膏本身影響較小 不過糖尿病本身也容易造成口腔念珠菌感染 判斷造成原因 無論如何 保持口腔清潔以及控制好血糖 都會對相關病變有幫忙 謝謝您的提問
 馬桶附近有螞蟻,我外婆跟外婆的媽媽及弟弟都有糖尿病，媽媽目前沒有，最近我發現在馬桶旁的地上以及馬桶蓋上有螞蟻，數量大概4隻而已，不是一大群，沒有跑到馬桶裡面，但就在附近，爸媽擔心我是不是有糖尿病，最近身體沒有什麼不舒服，胃口不好（我本來胃口就很小，飯吃不完半碗那種），但水喝很多很常排尿，上個月有排尿疼痛（未發炎），上周外陰瘙癢有去看婦產科，吃抗生素跟擦藥膏（沒有過性行為），現在只要穿寬鬆裙裝勤換內褲就不會癢了，請問這樣的狀況有糖尿病的跡象嗎？ 註：我身高149體重58，幾年前更胖大概65，從去年開始每天運動以後瘦了下來，最近體重持平,有糖尿病家族史，馬桶周圍有螞蟻，最好去新陳代謝科檢查空腹血糖和糖化血紅素，排除糖尿病的可能
 糖尿病不吃東西,我的奶奶今年74歲，患有糖尿病還有高血壓，因為這幾年來腎不好，所以每次吃飯前都會注射胰島素大約16c.c，吃完飯後會吃藥，但最近幾天她都不吃東西，她說頭暈沒有胃口，而且她都沒吃還是會嘔吐，因為沒有辦法，我們有時只給她喝沖泡奶粉，還沒吃東西時她的血糖是正常的，不過因為每次都說她沒有胃口、頭暈、肚子不舒服，所以我們也不敢幫他打胰島素，怕她不吃就會低血糖，請問遇到這種情況，應該怎麼辦會理想一點呢?,預防低血糖的觀念是應該的． 看診．
 醫療詢問,陳醫生你好: 我今年23歲 身材肥胖 毛囊炎開刀 發現傷口好的比較慢 醫生就懷疑我是不是有糖尿病 我就去測糖化血色素 測出來是6確診是糖尿病 請問6是很危險了嗎? 有一定要吃藥嗎? 我只知道飲食要控制 作息要正常 然後要減重 除了這些我還有什麼該做的呢? 目前家族病史裡 只有我爸爸有糖尿病 但我爸是後天的 不是家族遺傳 那這樣跟我爸沒關聯吧? 麻煩陳醫生跟我說明一下 謝謝!,病是危險的，要是安全的。 不要害怕服用藥物，應該擔心控制不好。 飲食與運動如果無法控制好血糖，就必須用藥物控制
 糖尿病?,醫生你好 我家族有遺傳性糖尿病 而我在小時後就因為有尿蛋白而四處看醫生 直到有次驗到沒有尿蛋白後 以為痊癒就不怎注意了 在大學健康檢查時驗出有尿蛋白 去民間檢查機構也驗出有尿蛋白 現在大學畢業去做兵役體檢時是驗出有尿糖 但兵役檢查機構卻說 我只有尿糖但血糖是正常的 所以是正常兵 我想問我現在到底是真糖尿病還是假的 還有我到底該怎麼辦。兵役機構跟他說明他就是不當一回事,您好： 謹回覆如下 「體位區分標準」規定，糖尿病經診斷確定者，屬於免役體位，診斷並開具診斷證明書。而蛋白尿相關的腎炎診斷，診斷及出具證明書及診斷理由，必要時，還要檢測尿液、血液及病理切片。（按：台內役字第0960830450號令會銜修正發布） 學理上而言，蛋白尿的原因很多，包括腎炎、感染、藥物引起、正常變異等等，所以必須進一步鑑別診斷。而糖尿病的診斷，目前多以血糖為偵測依據，尿糖反應只能做參考，而且尿糖的原因很多，不一而足；更不能以此做為診斷依據。 門診從事診斷為宜
 是否有糖尿病疑慮,天陣子公司體檢 空腹超過12小時 飯前血糖101 看網路上的標準是100以下 請問這樣需要開始飲食控制嗎 跟看醫生追蹤嗎 本人180 67公斤 謝謝,"Ping先生格下: 根據美國糖尿病醫學會關於糖尿病的診斷標準, a.空腹8小時以上的血漿血糖值≥126mg/dl, b.口服葡萄糖耐量試驗2小時血漿血糖值≥200mg/dl, c.HBA1c≥5%(必須沒有不相稱的高血糖且檢驗方法必須合乎國際認證NGSP與 DCCT化驗標準), 以上a,b,c情況必須有兩次檢查合乎標準. d.臨床上有糖尿病症狀(多喝,多尿,多吃,體重減輕等),同時任意血漿血糖值 ≥200mg/dl.(這個情況只要一次即可) 所以閣下目前不是糖尿病. 仍然建議現代人應該多運動,少吃精緻的食物;尤其,不要吃太飽,不要吃過量,少吃高昇糖指數的食物,足夠的受眠.就可以改善血糖值.即使是輕微的糖尿病,也可以改善成正常.這也就是說,糖尿病的形成不是全有全無或突然發生的;而是漸進式的.因此,必須持之以恆地維持良好的生活型態,飲食習慣與持續規律的運動"
 有關於糖尿病,我媽媽是一位糖尿病的患者，最近因為天氣太冷，加上住在山上又濕又冷，連續打了兩天的點滴，好不容易有慢慢恢復。但是我想說是不是可以用「電毯」使他可以比較舒服跟溫暖。但是我媽說她不能使用 所以請教醫生：電毯是可以使用嗎?也請給我一些正確的觀念,電毯可用來暖被子，但不要直接使用以免燙傷，平常可以穿襪子保暖
 糖尿病疾,您好得糖尿病會暴瘦的原因是什麼,"您好: 糖尿病典型症狀通常會出現「三多」 〈多吃‧多喝‧多尿〉「一少」 (體重減輕),但不是每位病人都會出現「三多一少」的典型症狀. 當病人血糖濃度超過腎臟再吸收糖的極限(一般為180 mg/dl)時，糖分會從小便中排出，使得尿液滲透壓升高，伴隨大量水分和電解質的流失，使細胞脫水，導致三多(多尿，多喝，多吃)、疲倦、體重減輕等典型症狀。若病人血糖濃度為180 mg/dl以下,則病人可能沒有任何症狀.所以罹患糖尿病不一定會暴瘦喔! 若要得知是否有糖尿病最好是測量血糖值.不要等到所有症狀出現後才就醫. 謝謝您的發問,祝您健康!"
 糖尿病,您好： 我婆婆有糖尿病，目前服藥中。請問血液太濃，有何應注意事項？可否喝茶葉茶嗎？,sindy您好： 血液太濃需找出原因在予以改善
 糖尿病吃很多,醫生好 前段時間自律神經失調，造成食慾不振，現在症狀緩解後卻吃很多，今天早餐沒吃、午餐一碗炸雞塊飯、晚餐便當半個（半碗飯和都是菜）、兩個三明治，三小包法國酥，常常因為伸手可得、嘴饞就吃了，在八月底體檢飯前血糖95，會在兩個月內就異常嗎？這陣子吃太多甜食，請問怎麼降血糖？很擔心會得糖尿病 謝謝醫生,糖尿病通常是長期飲食 運動減少 加上遺傳 影響 不會因為短期飲食就造成糖尿病 短期暴飲暴食要擔心的反而是肥胖問題 建議節制飲食 並且適度運動來控制 此外 討論 是否適合以藥物調整或是控制 謝謝您的提問
 糖尿病疾,您好糖尿病除了以外長期喝太甜飲料會得糖尿病嗎,"糖尿病為體內胰島素不足或胰島素敏感度降低所導致,正常人吃太甜較不會影響血糖,但若有糖尿病体質或過重的病人可能因大吃而使血糖過高,使糖尿病提早發生"
 糖尿病醫生,"醫生你好:檢查報告確定為糖尿病時,及看診醫生,真的很困擾","依據美國糖尿病醫學會的規定,糖尿病是一種新陳代謝的疾病;其特徵是體內胰臟的β細胞分泌胰島素有缺陷,造成胰島素的量相對地不足或是胰島素的作用無法充分發揮,而導致血糖升高的情形.因此,就細分科而言,糖尿病的治療屬於新陳代謝科,也就是內科的一個次專科.但是,由於糖尿病的普遍與病人很多,而且是一種慢性病，也不是那麼多.所以,經過相關的訓練與繼續教育,.這些都是您可以考慮的.其實, 糖尿病的治療原則主要是對飲食,運動,藥物等的控制與生活型態的調整,就會有所改善.如果對上述的原則卓有心得;個人以為,那就足夠勝任了"
 關於糖尿病,"上次回答: 本人確實有高脂血症,高血壓.目前有吃藥在控制.血壓平均(高壓)10(低壓).上次發問飯前血糖:糖化血色素:8三酸甘油脂:193問題後自己拿血糖機不定期量以下測量數據。飯前中午飯後2小時:飯前:中午飯後4小時:飯後2小時:。抽血差很多.曾經打電話尋問廠商是否血糖機不準.廠商回應說每一台血糖機都有誤差沒辦法百分之百準確.而我是血糖數據屬於正常誤差範圍內。廠商說法是否正確或是我量血糖方式有錯。抽空回應","您好: 一般抽血之血糖值會比血糖機測量數據高15%左右,因此您會產生疑問.因為您是糖尿病高危險群,建議您持續飲食控制及適當運動並避免肥胖或過重.若有菸酒檳榔等習慣應及早戒除.建議3~6個月追蹤血糖,糖化血色素,三酸甘油脂及膽固醇以及早發現異常. 謝謝您的發問,祝您健康!"
 糖尿病如何控制,": 糖尿病應該如何控制呢?,我爺爺的血糖一直都控制的不好,家中的人不知如何協助控制","Selina您好: 基本上血糖控制需要三方面控制:包括:藥物控制飲食控制運動,以上這三方面需要一起努力,血糖就能控制好 關心您"
 糖尿病問題,醫生 你好: 請問我空腹(8小時)抽血檢查醣化血色素~ 正常人我看網路上都是血4~6 我的報告顯示是6偏高 請問我該怎麼改善讓醣化血色素降低呢?? 目前我已經不吃甜食與飲料~每天都有在運動!,您好： 醣化血色素~正常人大約是4~6％，您的報告6屬於正常範圍，維持目前不吃甜食與飲料~每天運動應該沒有問題。 謝謝您的問題
 糖尿病者,"我已經有一個小孩目前已足3歲7個月了,我一直還想要在一個孩子,但先生有再吃糖尿病的藥,是否因為這樣 所以比較不容易受孕 謝謝回覆","小姐閣下: 不孕症是指一對性伴侶在沒有避孕的情況下，經過一年規律的性生活仍沒有受孕。不孕症大約有40％是由男性因素造成，女性荷爾蒙因素占20％，女性腹膜因素占30％，5％是由不適的子宮頸環境造成，另外有5％是不明原因的。就女性而言，不孕症的發生率與年齡有關，35～44歲之間的發生率是30～34歲的兩倍。就流行病學的調查顯示女性超過36歲以後，懷孕的機率會大幅降低;說過才對。閣下在42歲左右懷孕生子，實在是幸運又辛苦的事。 糖尿病的併發症其實是包括性功能障礙，勃起困難與其他的問題等等;這些問題恐怕遠比糖尿病藥物的副作用還明顯。就男性不孕而言,糖尿病,抽菸,年齡,各種疾病,毒物等等,都會影響精子的數量,品質與活動力的問題.雖然無法完全排除糖尿病藥物對男性生殖能力的影響;但是，就臨床上的經驗與研究報告而言，少有糖尿病藥物影響生殖能力的證據.反倒是血糖沒有控制好,會引起性功能障礙的報告與研究很多。 由於生殖醫學非常進步與專精，討論,或逕赴婦產科或泌尿科門診診治，以免耽誤"
 糖尿病的藥物以及B群,父親57歲數，糖尿病確診約兩年多，目前正在服用以下三種藥物: 高糖優適 500mg （每日2次，早晚飯中各1粒） 利控糖 0mg （飯前1粒，晚上飯前半粒） 立普妥 40mg （飯後半粒） 最近一次的糖化是6% 請問醫生， 糖尿病固定回診可以看家醫科的醫生嗎？還是一定要看新陳代謝科呢？ 請問可以吃b群嗎？不曉得會不會影響藥物？如果可以吃b群的話，放在什麼時候吃比較恰當呢？ 謝謝醫生！,"令尊服用的藥物如下: a.高糖優適(Galvus&reg;,Vidagliptin,一般是50mg). b.利控糖(Glimet&reg;,含Glimepiride2mg/Metformin500mg). c.立普妥(Lipitor&reg;,市面上含Atorvastatin10,20,40 mg各劑量). 而糖化血色素6%. 個人認為,開立的藥物都非常好,主要是治療糖尿病與高血脂症.因此,那裡看診,應該是可以的.當然,就內科細分科的制度下,糖尿病是屬於新陳代謝科的範疇.不過,也治療地非常好.在我國應該沒有任何限制,請自行斟酌. 糖尿病患者是否要服用維生素B群的問題,討論數十年.雖然沒有反對,但是也沒有建議.明顯的藥物交互作用不常見.因為不傷胃,所以空腹服用當然有助於藥物的吸收;其實,餐後服用也沒有特別禁忌. 糖尿病的治療飲食,運動,藥物與生活型態的改變都很重要;千萬不要忽視"
